date,open,high,close,low,volume,amount
2017-02-07,19.92,20.14,19.96,19.89,17407661.0,359724230.0
2017-02-06,20.0,20.06,20.03,19.93,14102806.0,291578995.0
2017-02-03,20.01,20.11,20.0,19.96,10892658.0,225512790.0
2017-01-26,19.97,20.09,20.0,19.97,14124823.0,292423713.0
2017-01-25,20.0,20.05,19.94,19.85,15464746.0,319264482.0
2017-01-24,20.09,20.12,20.01,19.97,15931840.0,330140440.0
2017-01-23,20.02,20.17,20.06,20.02,15637306.0,324581611.0
2017-01-20,19.93,20.15,20.0,19.87,21505311.0,444921457.0
2017-01-19,20.02,20.2,19.93,19.88,21688806.0,448815812.0
2017-01-18,19.99,20.49,20.24,19.86,32477225.0,679288498.0
2017-01-17,20.05,20.27,20.12,19.72,32104040.0,663297418.0
2017-01-16,21.1,21.1,20.31,19.65,55324012.0,1157108332.0
2017-01-13,20.31,21.67,21.1,20.22,106426641.0,2322228973.0
2017-01-11,19.85,19.96,19.73,19.73,16865220.0,345421494.0
2017-01-10,19.99,20.01,19.91,19.85,15917148.0,327766882.0
2017-01-09,19.93,20.07,19.98,19.86,15095445.0,311673794.0
2017-01-06,20.25,20.35,19.96,19.94,23591954.0,489032728.0
2017-01-05,20.17,20.54,20.25,20.1,31012563.0,651486106.0
2017-01-04,20.06,20.26,20.17,19.78,33155480.0,686745321.0
2017-01-03,19.88,20.2,20.05,19.88,21701669.0,449757486.0
2016-12-30,20.2,20.27,19.88,19.78,26115000.0,539245591.0
2016-12-29,20.59,20.62,20.16,20.02,32204601.0,673979866.0
2016-12-28,20.55,20.78,20.51,20.32,32151732.0,682434428.0
2016-12-27,19.97,21.26,20.72,19.92,74330548.0,1584454683.0
2016-12-26,19.55,20.01,19.97,19.46,37812479.0,776896919.0
2016-12-23,19.8,19.99,19.64,19.59,32435908.0,662932535.0
2016-12-22,19.64,20.09,19.94,19.44,49971724.0,1023481829.0
2016-12-21,19.54,20.02,19.81,19.54,53130409.0,1085459326.0
2016-12-20,20.31,20.31,19.66,19.49,71906542.0,1473706467.0
2016-12-19,21.28,21.28,20.41,20.35,70048497.0,1497453236.0
2016-12-16,21.4,22.01,21.73,21.4,29397618.0,660797240.0
2016-12-15,21.43,21.88,21.6,21.16,35562867.0,792479118.0
2016-12-14,21.93,22.15,21.56,21.47,41281457.0,931538268.0
2016-12-13,22.27,22.52,22.31,21.14,48450098.0,1098531810.0
2016-12-12,23.97,23.97,22.5,22.32,78901945.0,1865280414.0
2016-12-09,23.8,24.35,24.0,23.57,48168045.0,1193735856.0
2016-12-08,24.28,24.31,23.93,23.89,38055084.0,944277035.0
2016-12-07,24.52,24.54,24.32,23.39,49462389.0,1230395717.0
2016-12-06,24.33,24.79,24.55,24.33,35645541.0,903470473.0
2016-12-05,24.26,25.13,24.67,24.05,68906336.0,1757025448.0
2016-12-02,25.84,25.97,25.58,25.51,51572972.0,1367269531.0
2016-12-01,25.69,26.41,26.09,25.44,95017059.0,2546519579.0
2016-11-30,26.46,27.07,26.1,25.89,119318381.0,3258833180.0
2016-11-29,25.31,25.66,25.3,25.05,78060059.0,2049384794.0
2016-11-28,26.46,26.52,25.52,24.65,125593915.0,3329673915.0
2016-11-25,25.91,26.7,26.31,25.84,64594659.0,1759275499.0
2016-11-24,26.19,26.3,26.05,25.83,41224639.0,1109119615.0
2016-11-23,26.99,27.15,26.33,26.1,74090683.0,2029094560.0
2016-11-22,26.16,26.52,26.41,26.02,53038988.0,1441172538.0
2016-11-21,26.38,27.33,26.5,25.16,139065510.0,3795901121.0
2016-11-18,26.89,28.05,26.81,26.61,150316488.0,4252381231.0
2016-11-17,25.75,26.12,26.12,25.45,59513404.0,1591480643.0
2016-11-16,25.77,26.33,25.81,25.24,82711736.0,2204526908.0
2016-11-15,24.76,26.89,26.06,24.63,148588573.0,3965893664.0
2016-11-14,25.37,25.39,24.86,24.48,87878021.0,2254786427.0
2016-11-11,25.29,25.89,25.14,24.86,95846280.0,2495707511.0
2016-11-10,25.15,27.35,25.69,24.74,243030035.0,6611047611.0
