Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-04-18,35.48,36.45,35.2,36.28,4595700.0,0.0,1.0,35.48,36.45,35.2,36.28,4595700.0
2006-04-17,36.5,36.62,35.05,35.27,4442200.0,0.0,1.0,36.5,36.62,35.05,35.27,4442200.0
2006-04-13,35.9,36.72,35.49,36.62,3715200.0,0.0,1.0,35.9,36.72,35.49,36.62,3715200.0
2006-04-12,35.91,36.44,35.91,36.13,2855800.0,0.0,1.0,35.91,36.44,35.91,36.13,2855800.0
2006-04-11,36.61,36.75,35.52,36.06,6605600.0,0.0,1.0,36.61,36.75,35.52,36.06,6605600.0
2006-04-10,37.22,37.28,36.22,36.61,4747500.0,0.0,1.0,37.22,37.28,36.22,36.61,4747500.0
2006-04-07,38.61,38.67,37.0,37.09,5704500.0,0.0,1.0,38.61,38.67,37.0,37.09,5704500.0
2006-04-06,37.24,38.84,37.13,38.51,9294600.0,0.0,1.0,37.24,38.84,37.13,38.51,9294600.0
2006-04-05,36.77,37.34,36.27,37.34,5559500.0,0.0,1.0,36.77,37.34,36.27,37.34,5559500.0
2006-04-04,36.14,37.1,36.02,36.77,3717800.0,0.0,1.0,36.14,37.1,36.02,36.77,3717800.0
2006-04-03,36.56,37.33,36.1,36.14,5054000.0,0.0,1.0,36.56,37.33,36.1,36.14,5054000.0
2006-03-31,36.7,36.77,36.48,36.53,2659000.0,0.0,1.0,36.7,36.77,36.48,36.53,2659000.0
2006-03-30,36.32,36.9,36.18,36.67,4049200.0,0.0,1.0,36.32,36.9,36.18,36.67,4049200.0
2006-03-29,35.76,36.81,35.31,36.32,7199200.0,0.0,1.0,35.76,36.81,35.31,36.32,7199200.0
2006-03-28,35.22,36.02,35.2,35.69,5727200.0,0.0,1.0,35.22,36.02,35.2,35.69,5727200.0
2006-03-27,35.44,35.66,35.1391,35.25,3708500.0,0.0,1.0,35.44,35.66,35.1391,35.25,3708500.0
2006-03-24,35.82,36.12,35.31,35.47,3682000.0,0.0,1.0,35.82,36.12,35.31,35.47,3682000.0
2006-03-23,35.9,36.34,35.48,35.68,4035900.0,0.0,1.0,35.9,36.34,35.48,35.68,4035900.0
2006-03-22,35.97,36.54,35.79,36.0,4300800.0,0.0,1.0,35.97,36.54,35.79,36.0,4300800.0
2006-03-21,36.26,36.73,35.66,35.92,6671600.0,0.0,1.0,36.26,36.73,35.66,35.92,6671600.0
2006-03-20,35.9,37.27,35.8,36.23,6170800.0,0.0,1.0,35.9,37.27,35.8,36.23,6170800.0
2006-03-17,36.75,36.98,35.85,35.99,6886200.0,0.0,1.0,36.75,36.98,35.85,35.99,6886200.0
2006-03-16,37.0,37.39,36.74,36.77,4822800.0,0.0,1.0,37.0,37.39,36.74,36.77,4822800.0
2006-03-15,36.95,37.0,36.43,36.89,2801500.0,0.0,1.0,36.95,37.0,36.43,36.89,2801500.0
2006-03-14,36.04,37.0,36.01,36.91,4185200.0,0.0,1.0,36.04,37.0,36.01,36.91,4185200.0
2006-03-13,36.29,36.63,35.97,36.19,3278100.0,0.0,1.0,36.29,36.63,35.97,36.19,3278100.0
2006-03-10,36.245,36.5,35.74,36.22,4972700.0,0.0,1.0,36.245,36.5,35.74,36.22,4972700.0
2006-03-09,36.87,36.96,35.9,36.12,7200100.0,0.0,1.0,36.87,36.96,35.9,36.12,7200100.0
2006-03-08,36.87,37.47,36.61,36.81,6236600.0,0.0,1.0,36.87,37.47,36.61,36.81,6236600.0
2006-03-07,36.84,37.42,36.7,36.93,4722300.0,0.0,1.0,36.84,37.42,36.7,36.93,4722300.0
2006-03-06,37.23,37.58,36.77,36.86,4258300.0,0.0,1.0,37.23,37.58,36.77,36.86,4258300.0
2006-03-03,36.89,37.83,36.67,37.21,6044900.0,0.0,1.0,36.89,37.83,36.67,37.21,6044900.0
2006-03-02,35.65,37.0,35.37,36.88,11583700.0,0.0,1.0,35.65,37.0,35.37,36.88,11583700.0
2006-03-01,37.43,37.69,36.85,37.12,6981500.0,0.0,1.0,37.43,37.69,36.85,37.12,6981500.0
2006-02-28,37.78,38.09,37.05,37.44,9150900.0,0.0,1.0,37.78,38.09,37.05,37.44,9150900.0
2006-02-27,38.49,38.78,37.93,38.01,4449100.0,0.0,1.0,38.49,38.78,37.93,38.01,4449100.0
2006-02-24,38.25,38.41,37.86,38.35,3720000.0,0.0,1.0,38.25,38.41,37.86,38.35,3720000.0
2006-02-23,38.6,38.75,37.87,37.9,9287500.0,0.0,1.0,38.6,38.75,37.87,37.9,9287500.0
2006-02-22,38.31,39.1,37.71,38.72,7356900.0,0.0,1.0,38.31,39.1,37.71,38.72,7356900.0
2006-02-21,39.02,39.11,38.26,38.29,5056100.0,0.0,1.0,39.02,39.11,38.26,38.29,5056100.0
2006-02-17,38.97,39.38,38.91,39.19,4581800.0,0.0,1.0,38.97,39.38,38.91,39.19,4581800.0
2006-02-16,39.4,40.0,38.83,39.15,5638000.0,0.0,1.0,39.4,40.0,38.83,39.15,5638000.0
2006-02-15,38.34,39.28,38.1,39.26,6902700.0,0.0,1.0,38.34,39.28,38.1,39.26,6902700.0
2006-02-14,37.9,38.49,37.38,38.25,4514200.0,0.0,1.0,37.9,38.49,37.38,38.25,4514200.0
2006-02-13,38.29,38.42,37.53,37.86,4750400.0,0.0,1.0,38.29,38.42,37.53,37.86,4750400.0
2006-02-10,37.93,38.52,37.37,38.52,5011800.0,0.0,1.0,37.93,38.52,37.37,38.52,5011800.0
2006-02-09,38.69,39.0,37.93,37.99,6932800.0,0.0,1.0,38.69,39.0,37.93,37.99,6932800.0
2006-02-08,37.77,38.39,37.11,38.17,7543700.0,0.0,1.0,37.77,38.39,37.11,38.17,7543700.0
2006-02-07,38.14,38.2,37.2,37.52,7403600.0,0.0,1.0,38.14,38.2,37.2,37.52,7403600.0
2006-02-06,38.25,38.34,37.77,37.95,8503200.0,0.0,1.0,38.25,38.34,37.77,37.95,8503200.0
2006-02-03,37.75,38.5,37.37,38.33,33531300.0,0.0,1.0,37.75,38.5,37.37,38.33,33531300.0
2006-02-02,43.92,44.04,39.8,42.74,23709300.0,0.0,1.0,43.92,44.04,39.8,42.74,23709300.0
2006-02-01,43.91,44.69,43.5,43.98,7501400.0,0.0,1.0,43.91,44.69,43.5,43.98,7501400.0
2006-01-31,45.0,45.21,44.25,44.82,4056000.0,0.0,1.0,45.0,45.21,44.25,44.82,4056000.0
